ref_id,title,journal,researchNotes,type,authors,pages,volume,number,isbn,abstract,doi,year,date,keywords,isScreened,custom3,urls
11f7d885-bd90-4a79-9c7a-9d8d10ebf542,"First Nations Elders' perspectives of engagement in community programs in Nak'azdli Whut'en, British Columbia, Canada",CANADIAN JOURNAL OF PUBLIC HEALTH-REVUE CANADIENNE DE SANTE PUBLIQUE,Times Cited in Web of Science Core Collection:&nbsp;&nbsp;3 Total Times Cited:&nbsp;&nbsp;3 Cited Reference Count:&nbsp;&nbsp;29,journalArticle,"['Tonkin, R', 'Freeman, S', 'Martin, J', 'Ward, V', 'Skinner, K']",717-725,109,5-6,"0008-4263,1920-7476","Objectives Meaningful social engagement is important to reduce risk for social isolation and loneliness. First Nations Elders are a unique group and little knowledge currently exists of their preferred forms of social interaction. The objective of this study was to describe the types of programs Nak'azdli Elders desire, identify barriers to participation, and improve creation of programs that address Elders' needs and interests. Methods This project was co-created by the Nak'azdli Health Centre and Elders, located in Northern British Columbia, with support from academic partners when and where asked. An advisory committee selected participants perceived as able to complete the survey and available for interviewing. Participants were interviewed orally in English or Carrier in their homes or at a drop-in centre, by a well-respected Nak'azdli Elder. The Elder entered participant responses (including self-reported health, awareness and utilization for existing programs, and preferences for new programs) into a paper-based survey. Descriptive and content analysis were conducted. Results Nak'azdli Elders (N = 38) were interested in wisdom sharing, social programs, and health-related activities. Elders wanted to be actively engaged in programs/activity selection, helping organize programs, knowledge sharing, skills, and stories. Barriers to participation included lack of transportation, personal health concerns, scheduling conflicts, and lack of knowledge about programs/activities. Conclusion Nak'azdli Elders were interested in culturally relevant programs involving sharing cultural knowledge, teachings, and/or language with younger generations. Elders wanted to be engaged in all stages of activities, including planning, participation, and evaluation. Future programs should prioritize community collaboration and co-creation with Elders.",10.17269/s41997-018-0125-7,2018,2018,[],False,,
0d25e962-e56a-429c-b41b-98a220d25519,Variability in sub-regional impacts of dwarf mistletoe on mature lodgepole pine,FORESTRY CHRONICLE,Times Cited in Web of Science Core Collection:&nbsp;&nbsp;1 Total Times Cited:&nbsp;&nbsp;1 Cited Reference Count:&nbsp;&nbsp;24,journalArticle,"['Thomson, AJ', 'Muir, A', 'Lewis, KJ']",371-375,73,3,0015-7546,"Impact of lodgepole pine dwarf mistletoe was determined in six sub-areas of Forest Inventory Zone H, near Prince George, British Columbia, using a roadside survey and measurements of mature infected trees. Mistletoe effects on DBH were evident only in two of the sub-areas surveyed (Westlake and Nechako). After correcting DBH measurements for competition (stand density), dbh of 100-120 year old and 121-150 year old trees was reduced 10% and 17% respectively, in the highest mistletoe rating (DMR) category (4.5-6.0). Height/DBH relationships were affected by dwarf mistletoe only in the Nechako area. Mistletoe effects in the Nechako and Westlake areas, in stands older than 120 years with mistletoe ratings of 4.5-6.0, resulted in volume reductions of 28-42%, depending on the effects of mistletoe on height. Further losses might accrue in lodgepole pine stands if clear-cut harvesting were restricted by the BC Forest Practices Code, unless infected stems are selectively removed.",10.5558/tfc73371-3,1997,1997,[],False,,
bc66c863-4ba0-4cfa-bf84-07bdce9d54c5,Microsatellite DNA analysis of overwintering bull trout (Salvelinus confluentus) and its implications for harvest regulation and habitat management,FISHERIES MANAGEMENT AND ECOLOGY,Times Cited in Web of Science Core Collection:&nbsp;&nbsp;0 Total Times Cited:&nbsp;&nbsp;1 Cited Reference Count:&nbsp;&nbsp;52,journalArticle,"['Taylor, EB', 'Chudnow, R', 'Pillipow, R', 'Spendlow, I', 'van Poorten, B']",219-229,28,3,"0969-997X,1365-2400","A mixed-stock fishery occurs when multiple populations of a fish species are exploited together in a common area where they aggregate outside the breeding season (e.g. for feeding or overwintering), and the aggregation is known as a mixture. Recreational fishing often exploits such mixtures, and estimating the proportional contributions of populations to fisheries promotes more sustainable resource use. Ten DNA microsatellites were assayed in a mixture of bull trout Salvelinus confluentus Suckley overwintering in the Nechako River, upper Fraser River, British Columbia, and in baseline population samples from 14 tributaries putatively contributing to the overwintering mixture. A DNA microsatellite-based mixed-stock fishery analysis suggested that five populations together contributed 0.80 to the mixture. Most of the errors associated with the mixture estimates were attributable to uncertainty in baseline allele frequencies. Radiotracking data confirmed that tributary populations contributing to the mixture estimated by genetic analysis also contained individuals that moved between spawning tributaries and overwintering sites. The results better resolve habitat use by potadromous bull trout in the upper Fraser River and, in combination with assessments of baseline population-specific spawning abundances and productivity, will better inform a decision of whether or not allowing some harvest within the current catch-and-release fishery is biologically sustainable.",10.1111/fme.12473,2021,2021,[],False,,
4d62e9d8-7594-4366-886d-0f96b0935fc9,The influence of mantle plume in the genesis of the Cache Creek oceanic igneous rocks: implications for the geodynamic evolution of the inner accreted terranes of the Canadian Cordillera,CANADIAN JOURNAL OF EARTH SCIENCES,Times Cited in Web of Science Core Collection:&nbsp;&nbsp;20 Total Times Cited:&nbsp;&nbsp;21 Cited Reference Count:&nbsp;&nbsp;35,journalArticle,"['Tardy, M', 'Lapierre, H', 'Struik, LC', 'Bosch, D', 'Brunet, P']",515-534,38,4,"0008-4077,1480-3313","West of Prince George, British Columbia, the Cache Creek Terrane is composed of mafic lavas interlayered with both mid-Permian pelagic limestones and Upper Triassic siliceous shales and greywackes. Gabbro, basalt, dolerites, and foliated clinopyroxene-rich ultramafic rocks are exposed within the Pinchi Fault system. The mid-Permian lavas show affinities of oceanic island tholeiites. Among the Triassic lavas, three types of rocks have been distinguished. Type 1 is geochemically similar to the mid-Permian volcanic rocks. Type 2 differs from type 1 by higher TiO2 abundances and convex rare earth element patterns. Type 3 has the highest Zr, Nb, and Ta abundances and the greatest light rare earth element enrichment. The mafic rocks within the Pinchi Fault system are similar to N-type mid-ocean-ridge basalt (N-MORB), and the foliated ultramafic rocks are characterized by very low trace element contents, similar to extremely depleted harzburgites. Permian lavas and Triassic type 1 and igneous rocks from the Pinchi Fault system have the highest epsilon(Nd(i)) ratios (+7.4 to +9.6) and those of type 3 alkali have the lowest ratios (+2.0 to +5.3). The epsilon(Nd(i)) values of type 2 are intermediate between those of type 1 (similar to +7) and type 3 (similar to +4.9). This suggests that the Triassic rocks generated from a heterogeneous plume source or the mixing between depleted N-MORB and enriched oceanic island basalt sources. If the mafic igneous rocks sampled in central British Columbia are representative of the preserved parts of an oceanic crust, within the Cache Creek Terrane, then that crust was dominated by oceanic plateau components, perhaps due to the difficulty of subducting thick crust.",10.1139/e00-104,2001,2001,[],False,,
16264ec8-a1de-42e9-9bba-8e21ba806424,Dead forests burning: the influence of beetle outbreaks on fire severity and legacy structure in sub-boreal forests,ECOSPHERE,Times Cited in Web of Science Core Collection:&nbsp;&nbsp;16 Total Times Cited:&nbsp;&nbsp;16 Cited Reference Count:&nbsp;&nbsp;70,journalArticle,"['Talucci, AC', 'Krawchuk, MA']",,10,5,2150-8925,"Recent regional mountain pine beetle (MPB) outbreaks have generated unprecedented tree mortality across the fire-prone landscapes of western North American forests and could potentially modify fire severity and postfire ecological effects. In 2012, 2013, and 2014, three fires burned through high mortality, gray-phase lodgepole pine-dominated forests in the plateau regions of central interior British Columbia, Canada, providing an opportunity to test for interactions between MPB outbreaks and wildfires. We inventoried 63 plots that spanned gradients of outbreak severity, fire severity, and burning conditions in a wilderness setting. Our objective was to evaluate the influence of outbreak severity on fire severity by assessing typical first-order fire effects as well as legacy structure related to the consumption of woody biomass on snags/trees. We found no evidence of a relationship between outbreak severity and fire severity for six of seven first-order fire effects, with the exception of deep charring. We found evidence that legacy structure in the form of consumed branch structure and deep char development had greater odds of occurrence on MPB-killed snags compared to trees killed during wildfire. Our results indicate two key findings. First, fire severity as it relates to most first-order fire effects measures is not influenced by outbreak severity, instead it is more strongly influenced by the interaction of fuels, weather, and topography during fire events. Second, our results highlight how the interaction between outbreak severity and fire severity alters postfire structural legacies and their functional attributes, which could have important ecosystem implications.",10.1002/ecs2.2744,2019,2019,[],False,,
3c22f430-e4d5-4c79-a620-9660a4194b5e,Distribution of Paleogene and Cretaceous rocks around the Nazko River belt of central British Columbia from 3-D long-offset first-arrival seismic tomography,CANADIAN JOURNAL OF EARTH SCIENCES,Times Cited in Web of Science Core Collection:&nbsp;&nbsp;1 Total Times Cited:&nbsp;&nbsp;1 Cited Reference Count:&nbsp;&nbsp;33,journalArticle,"['Talinga, D', 'Calvert, AJ']",358-372,51,4,"0008-4077,1480-3313","Across the Nechako-Chilcotin plateau of British Columbia, the distribution of Cretaceous sedimentary rocks, which are considered prospective for hydrocarbon exploration, is poorly known due to the surface cover of glacial deposits and Tertiary volcanic rocks. To constrain the subsurface distribution of these Cretaceous rocks, in 2008 Geoscience BC acquired seven long, up to 14.4 km, offset vibroseis seismic reflection lines across a north-northwest-trending belt of exhumed sedimentary rocks inferred to be part of the Taylor Creek Group. P-wave velocity models, which are consistent with sonic logs from nearby wells, have been estimated using three-dimensional first-arrival tomography to depths ranging from 1 to 4 km. Igneous basement can be identified on most lines using the 5.5 km/s isovelocity contour, which locates the top of the basement to an accuracy of similar to 400 m where its depth is known in exploration wells. There is no general distinction on the basis of seismic velocity between Cretaceous sedimentary and Paleocene-Eocene volcanic-volcaniclastic rocks, both of which appear to be characterized in the tomographic models by velocities of 3.0-5.0 km/s. The geometry of the igneous basement inferred from the velocity models identifies north-trending basins and ridges, which correlate with exposed rocks of the Jurassic Hazelton Group. Identified Cretaceous sedimentary rocks occur beneath less negative Bouguer gravity anomalies, but the original distribution of these rocks has been disrupted by later Tertiary extension that created north-trending basins associated with the most negative gravity anomalies. We suggest that Cretaceous sedimentary rocks, if deposited, could be preserved within these basins if the rocks had not been eroded prior to Tertiary extension.",10.1139/cjes-2013-0143,2014,2014,[],False,,
1050a348-00b3-4c8e-b282-eb3dcba6fde5,Initial development of HF radar polar patch caused by azimuthal flow burst in the cusp,JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS,Times Cited in Web of Science Core Collection:&nbsp;&nbsp;4 Total Times Cited:&nbsp;&nbsp;4 Cited Reference Count:&nbsp;&nbsp;49,journalArticle,"['Taguchi, S', 'Hosokawa, K', 'Suzuki, S', 'Yukimatu, AS', 'Sato, N']",,115,,"2169-9380,2169-9402","In this study, we report evidence proving the existence of a close relationship between the initial development of a poleward propagating feature of the HF radar backscatter, that is, HF radar polar patch, and a fast azimuthal flow in the cusp. We focus on two events in which the HF radar polar patch was formed and was identified by the Super Dual Auroral Radar Network radars at Saskatoon, Canada, and Prince George, Canada, on 27 March 2001. We examine their spatial and temporal development. The two events occurred at the interface between the interplanetary magnetic field (IMF) B-Y-controlled azimuthal flow and the antisunward flow typical of a negative IMF B-Z; they developed in a longitudinally asymmetric manner. The increase in vertical bar BY/BZ vertical bar when B-Z was negative triggered the fast azimuthal flow. We interpret the temporal and spatial development of the HF radar polar patch in terms of the plasma density gradient created by the azimuthal flow and in terms of the subsequent development of the gradient in the direction of both the azimuthal flow and the antisunward flow.",10.1029/2009JA014631,2010,2010,[],False,,
d214e7d9-b86e-4967-a7ce-d9da71d8ab12,"Paleomagnetic results from Jurassic Topley Intrusions near Endako, British Columbia",CANADIAN JOURNAL OF EARTH SCIENCES,Times Cited in Web of Science Core Collection:&nbsp;&nbsp;0 Total Times Cited:&nbsp;&nbsp;0 Cited Reference Count:&nbsp;&nbsp;10,journalArticle,"['Symons, DTA']",350-352,11,2,"0008-4077,1480-3313",,10.1139/e74-032,1974,1974,,False,,
0fee36e8-7b3c-4413-ba3e-026d6e543d84,Temperature and Flow Effects on Migration Timing of Chinook Salmon Smolts,TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,Times Cited in Web of Science Core Collection:&nbsp;&nbsp;64 Total Times Cited:&nbsp;&nbsp;65 Cited Reference Count:&nbsp;&nbsp;35,journalArticle,"['Sykes, GE', 'Johnson, CJ', 'Shrimpton, JM']",1252-1265,138,6,"0002-8487,1548-8659","Physiological and behavioral changes occur in the spring when juvenile Pacific salmon Oncorhynchus spp. undergo smolting. Survival is maximized if the timing of these changes coincides with migration from fresh to marine environments. Therefore, understanding how environmental conditions influence the onset, duration, and termination of smolting can have substantial management implications, particularly for flow-controlled rivers. We used an information-theoretic model comparison analysis to investigate the roles of daily mean temperature, temperature experience (accumulated thermal units [ATU]), photoperiod, and flow on the timing of the downstream migration of Chinook salmon O. tshawytscha smolts from the Nechako River in central British Columbia. Both binary (migration or not) and count (the total number of migrants) models were developed that predicted the downstream migration of Chinook salmon based on data collected from fish captured at rotary-screw traps from 1992 to 2004. The analyses identified a combination of temperature experience, flow, and the number of spawners as best able to describe the observed migration patterns. In addition, increasing ATU had a positive influence on migration, while increasing flow had a negative influence. Temperature experience was found to have more influence on migration than daily mean temperature. The predictive ability of each model was tested with 2 years of independent data. The count model accurately predicted the general trends in migration and, in particular, the termination of migration, but not the daily fluctuations in movement. By contrast, the binary model predicted whether fish would migrate on a given day with accuracies of 93% and 99%, respectively, for the 2 years tested. Temperature experience was more strongly linked to migration than the daily or threshold temperature; warmer temperatures resulted in earlier migration. Our data suggest that flow plays an important role once migration is under way and may even serve as a termination cue. Furthermore, the number of migrants and the probability of migration was positively related to the number of spawners. Based on the results of this study, flow manipulations that change the timing, duration, or magnitude of temperature and flow in the spring could affect the migration of Chinook salmon. Both temperature and river flow should be considered when one is managing flow-controlled watersheds for salmon productivity.",10.1577/T08-180.1,2009,2009,[],False,,
010c013c-38b5-4c5a-afa1-a6a062672f2d,"Axiety at the gates of Hell: Community Reputation in the Georges, 1908-15.",BC Studies,"Accession Number: 143146491; SWAINGER, JONATHAN; Source Info: Spring2020, Issue 205, p57; Subject Term: REPUTATION; Subject Term: SUBURBS; Subject Term: PROVINCIAL governments; Subject Term: WORLD War I; Subject Term: HISTORY of British Columbia; Subject Term: PRINCE George (B.C.); Subject Term: CANADA; NAICS/Industry Codes: 912910 Other provincial and territorial public administration; Number of Pages: 22p; Document Type: Article",journalArticle,"['Swainger, JONATHAN']",57-78,,205,00052949,"The article talks about the community reputation of South Fort George, Fort George and Prince George in British Columbia (BC). Topics include Reverend C. Melville Wright's argument on describing Fort George as gates of hell, his concern for the state of local morals at South Fort George, and elements that shape Georges' pre-First World War reputation. Also cited is the persistence of unease over reputation and pursuit of respectability in efforts to secure provincial government office in BC.",,2020,2020,[],False,,
