key,title,itemType,creators,date,DOI,url,collections,tags,abstractNote
KLU7WISF,Unsettling a settler society,bookSection,"[{'firstName': 'Leonie', 'lastName': 'Sandercock', 'creatorType': 'author'}, {'firstName': 'Giovanni', 'lastName': 'Attili', 'creatorType': 'author'}]",2012-01-01,,https://sapienza.pure.elsevier.com/it/publications/unsettling-a-settler-society-film-phronesis-and-collaborative-pla,"['EG5BYG2X', '5JRIR9ZQ']",[{'tag': 'Saturation search (2)'}],"Prologue Five years ago we heard three anecdotes about the small town of Burns Lake in northern British Columbia that whetted our phronetic research appetite, as well as our evolving interest in film as a mode of inquiry and a way of approaching collaborative and transformational planning. This northern interior town has a population of 3,000 people, almost equally divided between First Nations (indigenous) and non-Native Canadians, the latter constituting the ‘settler society’. The first anecdote reported a kind of ‘High Noon’ conflict between the municipality of Burns Lake and one of the First Nations bands, the Burns Lake Band (whose preferred name is Ts’il Kaz Koh First Nation). As part of a dispute over land and taxation which culminated in the year 2000, the municipality shut off water and sewer services to the Burns Lake Band’s Reserve, in the middle of winter (in a region where winter temperatures in February are typically -30°C). To our then innocent ears that seemed like a pretty shocking situation. How could there be such an apparent affront to basic human rights, we wondered, in twenty-first-century Canada, a country with a rather stellar record of defending human rights abroad? How could such injustice and seemingly blatant racism be happening and how could the perpetrator be an arm of the state, namely, local government?. The second anecdote told how in 2005 some of the local youth in the town had gotten together, Native and non-Native, and written and performed a song about racism and violence in the town, calling their song ‘Leave it Behind’. This raised a second question of whether and how, amid a history of segregation and conflict, some people were struggling to change things, and how well were they faring? And, third, we learned that in the municipal elections of 2005 a member of the Burns Lake Band had been elected to the Village Council, the only Native person ever to serve on that Council. What effect would this have on local politics? Was the local power structure changing or were there more subtle shifts in power occurring, and, if so, how and why? And what potential effect might our research have in aiding this shift towards more equitable economic, social and political relations between Native and non-Native Canadians in this town, and possibly beyond, through the power of their story? These were the questions that prompted us to make an exploratory trip to the town in the summer of 2006."
6KJQ95WB,"Products, features and target markets: An inquiry into Aboriginal tourism product preference of visitors to northern British Columbia.",thesis,"[{'firstName': 'Diana', 'lastName': 'Kutzner', 'creatorType': 'author'}]",2009,,http://arcabc.ca/islandora/object/unbc%3A6911/,['4EFHUEJI'],[{'tag': 'Saturation search (2)'}],"Many Aboriginal communities in British Columbia, Canada and worldwide, are on the search for new development opportunities and industries to diversify their economies. Aboriginal tourism is one of these industries, often described as a development opportunity which may promote Aboriginal peoples' cultural revitalization and economic benefits without exploiting their traditional territories. While documentation of demand for Aboriginal tourism experiences in North America exists, visitor product preferences remain largely unknown. However, Aboriginal tourism business entrepreneurs and operators need this information in order to manage for the long-term profitability of their businesses. The study presented in this thesis attempts to provide insight into this topic. Working under the umbrella of a collaborative research effort between Tl'azt'en Nation and the University of Northern British Columbia, I administered a questionnaire containing four hypothetical Aboriginal tourism product descriptions and 31 individual features of Aboriginal tourism products to 337 visitors of northern British Columbia during the summer of 2007. I analyzed the data and established a profile of the travelers and their Aboriginal tourism product preferences. Based upon the identified primary features of Aboriginal tourism products I made several recommendations regarding tourism product development. Following this, I conducted a cluster analysis based on visitors' interest in these particular product features and in an attempt to segment the market for Aboriginal tourism in northern British Columbia. I identified three distinct clusters as the Culture Seekers, the Nature-Culture Observers and the Sightseers. The first two segments appear to hold the strongest potential for rural First Nation communities. In the end, which segment to target and which marketing channels to use will depend on Tl'azt'en and other First Nations' level of comfort in interacting with visitors and how much of their culture they are willing to share with touris"
CVZCY5PX,Linking school based monitoring to land and water decision-making in the Nechako watershed,thesis,"[{'firstName': 'Eleanor', 'lastName': 'Parker', 'creatorType': 'author'}, {'firstName': 'Margot', 'lastName': 'Parkes', 'creatorType': 'author'}]",2022,,https://unbc.arcabc.ca/islandora/object/unbc%3A59309,"['4EFHUEJI', '5JRIR9ZQ']",[],
6L6KLQCM,Texto completo,attachment,[],,,https://unbc.arcabc.ca/islandora/object/unbc%3A59309/datastream/PDF/view,[],[],
9HMBL37J,"""It’s our law to protect the land and the people"": Perspectives on traditional governance and Keyoh stewardship with S̲aik’uz̲ Whut’enne",thesis,"[{'firstName': 'Nadia', 'lastName': 'Nowak', 'creatorType': 'author'}]",2022,,https://unbc.arcabc.ca/islandora/object/unbc%3A59273,['4EFHUEJI'],[],
5N9FKV4L,Texto completo,attachment,[],,,https://unbc.arcabc.ca/islandora/object/unbc%3A59016/datastream/PDF/view,[],[],
C3ILNFCE,Exploring Indigenous-led collaborative stewardship in a watershed context: Prespectives from the Nechako headwaters,thesis,"[{'firstName': 'Kate', 'lastName': 'Hewitt', 'creatorType': 'author'}]",2019,,https://unbc.arcabc.ca/islandora/object/unbc%3A59016,['4EFHUEJI'],[],
V87GJ3NI,Texto completo,attachment,[],,,https://unbc.arcabc.ca/islandora/object/unbc%3A59213/datastream/PDF/view,[],[],
3MM9NMIH,"Exploring climate change, ecosystems and well-being connections: lessons learned from the application of a geospatial knowledge exchange tool in the Nechako watershed",thesis,"[{'firstName': 'Joseph', 'lastName': 'Gothreau', 'creatorType': 'author'}]",2021,,https://unbc.arcabc.ca/islandora/object/unbc%3A59213,['4EFHUEJI'],[],"The Nechako Watershed is a large system in northern BC that exemplifies the challenge of integrating information across climate, environment and well-being. This research responded to this need with the goal of enhancing how information about the Nechako Watershed is communicated and shared. Informed by the development of a geospatial ‘portal’ tool in northern BC, this research sought to establish the Integrated Watershed Research Group (IWRG) Portal, gain insight on establishing accessible knowledge exchange strategies, and identify its perceived benefits and limitations. The research had two phases. Phase I involved working with a development team to understand this tool, testing, establishing the IWRG Portal, finding and formatting content. Phase II brought members of the Portal User Research Group together to further refine the IWRG Portal and content through scoping discussions, workshops, and a focus group. Thematic analysis was used to code and analyze the transcribed focus group. The research identified benefits of the portal with how it dealt with complexity and its integrative features. Limitations were also found, including the need for intentional framing of data, a steep learning curve, and the need for an internet connection. Analysis also identified the need to tailor content for specific audiences. The research has shown that tools such as the IWRG Portal can create new pathways to understanding and finding information. The research has also identified paths for further refinement and development of the portal tool by expanding the user base and continuing to evaluate the effectiveness of this tool in various contexts."
YG2MKHEM,Connections between land and wellbeing: Perspectives of First Nations youth in the community of Saik'uz.,thesis,"[{'firstName': 'Lindsay Nicole', 'lastName': 'Beck', 'creatorType': 'author'}, {'firstName': 'Margot', 'lastName': 'Parks', 'creatorType': 'author'}]",2013,,http://unbc.arcabc.ca/islandora/object/unbc%3A16893,['4EFHUEJI'],[],
