title,normalized_title,type,authors,journal,year,library
Myths of the Carrier Indians of British Columbia,myths of the carrier indians of british columbia,Journal Article,"Jenness, Diamond",The Journal of American Folklore,1934,Portal
The Physical Basis of Agriculture in British Columbia,the physical basis of agriculture in british columbia,Journal Article,"Kerr, Donald",Economic Geography,1952,Portal
Claiming Memory in British Columbia: Aboriginal Rights and the State,claiming memory in british columbia aboriginal rights and the state,Journal Article,"Korsmo, Fae L.",American Indian Culture and Research Journal,1996,Portal
As if Indigenous Knowledge and Communities Mattered: Transformative Education in First Nations Communities in Canada,as if indigenous knowledge and communities mattered transformative education in first nations communities in canada,Journal Article,"Ball, Jessica",The American Indian Quarterly,2005,Portal
Glaciation in north-central British Columbia,glaciation in northcentral british columbia,Journal Article,"Armstrong, John Edward; Tipper, Howard W.",American Journal of Science,1948,Portal
Afterword – Call the name gently: Ne-Chaaaaa-Ko,afterword call the name gently nechaaaaako,Journal Article,"Baldwin, Jacqueline","Gender, Place & Culture",2009,Portal
Dammed Waters in a Moose Range,dammed waters in a moose range,Journal Article,"Edwards, R. Y.",The Murrelet,1957,Portal
Third-Person Object Prefixes in Babine-Witsuwit'en,thirdperson object prefixes in babinewitsuwiten,Journal Article,"Gunlogson, Christine",International Journal of American Linguistics,2001,Portal
Hydrological response to dynamical downscaling of climate model outputs: A case study for western and eastern snowmelt-dominated Canada catchments,hydrological response to dynamical downscaling of climate model outputs a case study for western and eastern snowmeltdominated canada catchments,Journal Article,"Troin, Magali; Caya, Daniel; Velázquez, Juan Alberto; Brissette, François",Journal of Hydrology: Regional Studies,2015,Portal
Re-Estimating Temperature-Dependent Consumption Parameters in Bioenergetics Models for Juvenile Chinook Salmon,reestimating temperaturedependent consumption parameters in bioenergetics models for juvenile chinook salmon,Journal Article,"Plumb, John M.; Moffitt, Christine M.",Transactions of the American Fisheries Society,2015,Portal
The Efficacy of Reservoir Flow Regulation for Cooling Migration Temperature for Sockeye Salmon in the Nechako River Watershed of British Columbia,the efficacy of reservoir flow regulation for cooling migration temperature for sockeye salmon in the nechako river watershed of british columbia,Journal Article,"Macdonald, J. S.; Morrison, J.; Patterson, D. A.",North American Journal of Fisheries Management,2012,Portal
