title,normalized_title,portal_collections,search_collections,is_overlap
"Recent paleolimnology of three lakes in the Fraser River Basin (BC, Canada): no response to the collapse of sockeye salmon stocks following the Hells Gate landslides",recent paleolimnology of three lakes in the fraser river basin bc canada no response to the collapse of sockeye salmon stocks following the hells gate landslides,Large Lakes Monitoring,,False
"Water Quality Trends in the Fraser River Basin, 1985-1995",water quality trends in the fraser river basin 19851995,Large Lakes Monitoring,,False
"Changing Landscapes, Changing Lives: Exploring climate change impacts in the Nechako Watershed, and implications to natural resource development",changing landscapes changing lives exploring climate change impacts in the nechako watershed and implications to natural resource development,Large Lakes Monitoring,,False
Trawl Catch Statistics in Sockeye Rearing Lakes of the Fraser River Drainage Basin: 1975-1985,trawl catch statistics in sockeye rearing lakes of the fraser river drainage basin 19751985,Large Lakes Monitoring,,False
"Wildlife health indicators and mercury exposure: A case study of river otters (Lontra canadensis) in central British Columbia, Canada",wildlife health indicators and mercury exposure a case study of river otters lontra canadensis in central british columbia canada,Large Lakes Monitoring,Journal Articles,True
Volume 5 of 8 Nechako River Court Action (DFO Expert Reports),volume 5 of 8 nechako river court action dfo expert reports,Large Lakes Monitoring,,False
sustainable fisheries management,sustainable fisheries management,Large Lakes Monitoring,,False
"Trends in the Abundance of Chinook Salmon (Oncorhynchus tshawytscha) of the Nechako River, British Columbia",trends in the abundance of chinook salmon oncorhynchus tshawytscha of the nechako river british columbia,Large Lakes Monitoring,,False
Trawl catch statistics from seven sockeye rearing lakes of the Fraser River drainage basin: 1991,trawl catch statistics from seven sockeye rearing lakes of the fraser river drainage basin 1991,Large Lakes Monitoring,,False
Tracing organic matter sources in riverine suspended sediment: Implications for fine sediment transfers,tracing organic matter sources in riverine suspended sediment implications for fine sediment transfers,Large Lakes Monitoring,,False
Time to Evolve? Potential Evolutionary Responses of Fraser River Sockeye Salmon to Climate Change and Effects on Persistence,time to evolve potential evolutionary responses of fraser river sockeye salmon to climate change and effects on persistence,Large Lakes Monitoring,,False
The Stuart-Takla Fisheries/Forestry Interaction Project: Study Description and Design,the stuarttakla fisheriesforestry interaction project study description and design,Large Lakes Monitoring,,False
The Residence Time of Juvenile Fraser River Sockeye Salmon in the Strait of Georgia,the residence time of juvenile fraser river sockeye salmon in the strait of georgia,Large Lakes Monitoring,,False
"The Historical Record of Metals in Sediments from Six Lakes in the Fraser River Basin, British Columbia",the historical record of metals in sediments from six lakes in the fraser river basin british columbia,Large Lakes Monitoring,,False
The effect of variable-retention riparian buffer zones on water temperatures in small headwater streams in sub-boreal forest ecosystems of British Columbia,the effect of variableretention riparian buffer zones on water temperatures in small headwater streams in subboreal forest ecosystems of british columbia,Large Lakes Monitoring,,True
The 2010 Summer Water Temperature and Flow Management Project,the 2010 summer water temperature and flow management project,Large Lakes Monitoring,,False
The 1998 Summer Water Temperature and Flow Management Project,the 1998 summer water temperature and flow management project,Large Lakes Monitoring,,False
The 1988 Summer Water Temperature and Flow Management Project,the 1988 summer water temperature and flow management project,Large Lakes Monitoring,,False
Tests of the fidelity of lake sediment core records of mercury deposition to known histories of mercury contamination,tests of the fidelity of lake sediment core records of mercury deposition to known histories of mercury contamination,Large Lakes Monitoring,Journal Articles,True
"Study of Juvenile Chinook Salmon in the Nechako River, British Columbia 1985 and 1986",study of juvenile chinook salmon in the nechako river british columbia 1985 and 1986,Large Lakes Monitoring,,False
